Time,asks,bids
2017-01-16 00:00:00 UTC,3379115.715,2366256.719
2017-01-17 00:00:00 UTC,3202290.926,1985419.852
2017-01-18 00:00:00 UTC,3033024.762,2413319.815
2017-01-19 00:00:00 UTC,4410167.895,3316124.36
2017-01-20 00:00:00 UTC,4601306.53,3319449.639
2017-01-21 00:00:00 UTC,4457675.078,3538314.795
2017-01-22 00:00:00 UTC,4564880.758,3873089.094
2017-01-23 00:00:00 UTC,4836228.468,3881432.316
2017-01-24 00:00:00 UTC,4748312.465,3762041.975
2017-01-25 00:00:00 UTC,5850083.606,5374154.936
2017-01-26 00:00:00 UTC,5722552.023,5683920.824
2017-01-27 00:00:00 UTC,5605876.755,6118780.598
2017-01-28 00:00:00 UTC,5029488.303,6365266.577
2017-01-29 00:00:00 UTC,4743947.092,6357172.935
2017-01-30 00:00:00 UTC,4896577.947,6425393.421
2017-01-31 00:00:00 UTC,4810394.552,6360148.545
2017-02-01 00:00:00 UTC,5064458.288,5744247.086
2017-02-02 00:00:00 UTC,6128204.532,5069557.653
2017-02-03 00:00:00 UTC,6569678.036,4745093.316
2017-02-04 00:00:00 UTC,6993952.427,4904722.938
2017-02-05 00:00:00 UTC,7181323.323,4628350.474
2017-02-06 00:00:00 UTC,6721280.492,4631380.283
2017-02-07 00:00:00 UTC,5716264.438,4531153.218
2017-02-08 00:00:00 UTC,5029907.434,3383123.887
2017-02-09 00:00:00 UTC,4290177.675,3309070.127
2017-02-10 00:00:00 UTC,2436562.636,3712946.123
2017-02-11 00:00:00 UTC,3787533.205,3431130.074
2017-02-12 00:00:00 UTC,3764933.86,3831671.198
2017-02-13 00:00:00 UTC,3338554.039,3383316.775
2017-02-14 00:00:00 UTC,3576778.649,3001638.49
2017-02-15 00:00:00 UTC,4326284.685,3171552.703
2017-02-16 00:00:00 UTC,4445259.23,2984983.097
2017-02-17 00:00:00 UTC,4821061.162,3302478.218
2017-02-18 00:00:00 UTC,5444805.378,3386085.935
2017-02-19 00:00:00 UTC,4994132.568,3409251.964
