Time,1Hash,AntPool,BTC.TOP,BTC.com,BTCC Pool,BW.COM,BitClub Network,BitFury,Bitcoin.com,F2Pool,GBMiners,SlushPool,Unknown,ViaBTC,others
2017-05-15 00:00:00 UTC,3.5538534766831014e+17,9.021320363887873e+17,4.9207201984842944e+17,2.4603600992421472e+17,4.373973509763817e+17,1.91361341052167e+17,2.1869867548819085e+17,4.373973509763817e+17,1.91361341052167e+17,2.1869867548819085e+17,5.467466887204771e+16,2.7337334436023856e+17,3.280480132322863e+17,2.4603600992421472e+17,8.201200330807157e+16
2017-05-16 00:00:00 UTC,1.695214044225884e+17,5.3681778067153e+17,2.5428210663388262e+17,3.390428088451768e+17,3.672963762489416e+17,1.1301426961505894e+17,5.650713480752947e+16,2.5428210663388262e+17,1.695214044225884e+17,2.5428210663388262e+17,5.650713480752947e+16,3.390428088451768e+17,5.0856421326776525e+17,1.4126783701882368e+17,1.9777497182635315e+17
2017-05-17 00:00:00 UTC,1.6406876434082323e+17,7.109646454769006e+17,3.554823227384503e+17,2.1875835245443094e+17,2.734479405680387e+17,2.4610314651123485e+17,1.3672397028401934e+17,4.648614989656658e+17,1.6406876434082323e+17,4.375167049088619e+17,5.4689588113607736e+16,1.6406876434082323e+17,4.922062930224697e+17,2.4610314651123485e+17,1.0937917622721547e+17
2017-05-18 00:00:00 UTC,8.416744453168542e+16,4.7694885234621734e+17,4.2083722265842714e+17,1.96390703907266e+17,3.366697781267417e+17,2.8055814843895142e+17,1.4027907421947571e+17,5.050046671901125e+17,1.6833488906337085e+17,4.2083722265842714e+17,2.805581484389514e+16,2.5250233359505626e+17,3.366697781267417e+17,2.5250233359505626e+17,8.416744453168542e+16
2017-05-19 00:00:00 UTC,2.209971442583971e+17,9.392378630981875e+17,2.4862178729069674e+17,4.143696454844945e+17,4.143696454844945e+17,5.524928606459927e+16,1.657478581937978e+17,6.07742146710592e+17,1.9337250122609747e+17,4.6961893154909376e+17,,1.657478581937978e+17,3.314957163875956e+17,2.4862178729069674e+17,5.524928606459927e+16
2017-05-20 00:00:00 UTC,5.57397022267097e+16,7.524859800605809e+17,3.344382133602582e+17,3.901779155869679e+17,5.0165732004038726e+17,1.672191066801291e+17,1.672191066801291e+17,4.459176178136776e+17,8.360955334006454e+16,5.5739702226709696e+17,5.57397022267097e+16,3.344382133602582e+17,4.737874689270324e+17,1.672191066801291e+17,1.114794044534194e+17
2017-05-21 00:00:00 UTC,1.1206638421686178e+17,8.124812855722478e+17,5.0429872897587795e+17,4.202489408132317e+17,1.961161723795081e+17,1.961161723795081e+17,1.4008298027107723e+17,2.8016596054215446e+17,5.603319210843089e+16,3.0818255659636986e+17,,1.4008298027107723e+17,6.163651131927397e+17,3.0818255659636986e+17,2.8016596054215444e+16
2017-05-22 00:00:00 UTC,8.390513088466603e+16,6.432726701157729e+17,4.195256544233301e+17,3.6358890050021946e+17,3.915572774617748e+17,1.6781026176933206e+17,8.390513088466603e+16,2.5171539265399808e+17,1.1187350784622138e+17,3.915572774617748e+17,2.7968376961555344e+16,1.6781026176933206e+17,5.593675392311068e+17,3.0765214657710874e+17,1.1187350784622138e+17
2017-05-23 00:00:00 UTC,1.437691107585976e+17,8.051070202481466e+17,4.888149765792319e+17,2.5878439936547568e+17,4.3130733227579283e+17,2.0127675506203664e+17,1.7252293291031712e+17,3.1629204366891475e+17,8.626146645515856e+16,4.025535101240733e+17,,2.0127675506203664e+17,8.051070202481466e+17,4.025535101240733e+17,1.1501528860687808e+17
2017-05-24 00:00:00 UTC,2.6788215261848317e+17,7.738817742311736e+17,2.9764683624275904e+17,2.0835278536993136e+17,6.25058356109794e+17,2.0835278536993136e+17,1.1905873449710365e+17,1.7858810174565546e+17,1.1905873449710365e+17,6.25058356109794e+17,5.952936724855182e+16,1.1905873449710365e+17,6.548230397340699e+17,2.6788215261848317e+17,5.952936724855182e+16
2017-05-25 00:00:00 UTC,2.649031855246088e+17,8.830106184153626e+17,6.181074328907539e+17,2.943368728051209e+17,5.003726837687055e+17,1.4716843640256045e+17,2.649031855246088e+17,3.2377056008563296e+17,1.7660212368307254e+17,2.943368728051209e+17,5.886737456102418e+16,3.2377056008563296e+17,4.415053092076813e+17,1.4716843640256045e+17,5.886737456102418e+16
2017-05-26 00:00:00 UTC,1.5119177869708595e+17,8.164356049642642e+17,5.140520475700922e+17,4.2333698035184064e+17,2.7214520165475472e+17,1.2095342295766877e+17,1.2095342295766877e+17,3.3262191313358906e+17,6.047671147883438e+16,4.838136918306751e+17,3.023835573941719e+16,2.1166849017592032e+17,9.071506721825157e+17,1.2095342295766877e+17,6.047671147883438e+16
2017-05-27 00:00:00 UTC,1.451273046525e+17,6.095346795405e+17,5.8050921861e+17,2.6122914837449997e+17,5.2245829674899994e+17,3.1928007023549997e+17,5.805092186099999e+16,2.90254609305e+17,8.707638279149998e+16,6.095346795405e+17,5.805092186099999e+16,2.6122914837449997e+17,7.836874451235e+17,1.451273046525e+17,1.451273046525e+17
2017-05-28 00:00:00 UTC,1.483919958749703e+17,7.122815801998574e+17,5.6388958432488723e+17,2.967839917499406e+17,3.561407900999287e+17,2.967839917499406e+17,1.7807039504996435e+17,2.6710559257494656e+17,5.935679834998813e+16,4.74854386799905e+17,1.1871359669997626e+17,3.2646239092493466e+17,7.716383785498456e+17,2.0774879422495846e+17,1.1871359669997626e+17
2017-05-29 00:00:00 UTC,1.1827882874182277e+17,7.392426796363924e+17,5.91394143709114e+17,2.6612736466910125e+17,2.95697071854557e+17,1.7741824311273418e+17,1.1827882874182277e+17,2.6612736466910125e+17,1.478485359272785e+17,2.95697071854557e+17,8.870912155636709e+16,2.3655765748364554e+17,8.870912155636708e+17,1.7741824311273418e+17,5.9139414370911384e+16
2017-05-30 00:00:00 UTC,2.0743850240202435e+17,7.704858660646619e+17,7.112177225212264e+17,7.112177225212264e+17,3.2597478948889536e+17,1.778044306303066e+17,1.778044306303066e+17,6.223155072060731e+17,1.1853628708687106e+17,2.963407177171776e+17,1.1853628708687106e+17,2.963407177171776e+17,4.741451483474842e+17,1.778044306303066e+17,1.1853628708687106e+17
2017-05-31 00:00:00 UTC,5.9389853927313176e+16,9.205427358733541e+17,5.6420361230947514e+17,3.860340505275356e+17,4.1572897749119226e+17,1.1877970785462635e+17,1.484746348182829e+17,4.454239044548488e+17,8.908478089096974e+16,4.454239044548488e+17,2.9694926963656588e+16,2.0786448874559613e+17,7.12678247127758e+17,2.375594157092527e+17,8.908478089096976e+16
2017-06-01 00:00:00 UTC,1.484849711583953e+17,1.0690917923404462e+18,5.6424289040190214e+17,2.969699423167906e+17,6.236368788652603e+17,1.7818196539007437e+17,1.484849711583953e+17,3.266669365484697e+17,8.909098269503718e+16,5.6424289040190214e+17,1.1878797692671624e+17,1.1878797692671624e+17,5.939398846335812e+17,1.7818196539007437e+17,2.969699423167906e+16
2017-06-02 00:00:00 UTC,1.4975163794958186e+17,6.289568793882437e+17,5.990065517983274e+17,2.096522931294146e+17,3.893542586689128e+17,1.1980131035966547e+17,1.797019655394982e+17,2.995032758991637e+17,2.995032758991637e+16,5.3910589661849466e+17,5.990065517983274e+16,1.4975163794958186e+17,5.69056224208411e+17,2.3960262071933094e+17,2.096522931294146e+17
2017-06-03 00:00:00 UTC,1.1762923627742811e+17,9.70441199288782e+17,8.822192720807109e+17,2.3525847255485622e+17,3.234803997629273e+17,2.0585116348549923e+17,1.7644385441614218e+17,4.1170232697099846e+17,1.1762923627742811e+17,5.5873887231778355e+17,1.1762923627742811e+17,3.8229501790164134e+17,6.763681085952116e+17,3.234803997629273e+17,1.4703654534678515e+17
2017-06-04 00:00:00 UTC,9.337368603894243e+16,8.09238612337501e+17,7.781140503245202e+17,4.046193061687505e+17,3.734947441557697e+17,2.801210581168273e+17,1.5562281006490403e+17,2.1787193409086566e+17,6.224912402596162e+16,4.979929922076929e+17,6.224912402596162e+16,2.4899649610384646e+17,5.913666782466354e+17,3.423701821427889e+17,9.337368603894243e+16
2017-06-05 00:00:00 UTC,,9.119346658691802e+17,5.066303699273223e+17,5.066303699273223e+17,4.728550119321675e+17,2.7020286396123856e+17,3.0397822195639334e+17,6.079564439127867e+17,1.6887678997577408e+17,2.7020286396123856e+17,1.3510143198061928e+17,3.3775357995154816e+17,7.768332338885609e+17,1.6887678997577408e+17,1.0132607398546445e+17
2017-06-06 00:00:00 UTC,1.0105328292361749e+17,1.0442172568773806e+18,6.063196975417048e+17,3.7052870405326406e+17,1.6842213820602915e+17,3.031598487708524e+17,1.0105328292361749e+17,3.031598487708524e+17,,4.715819869768816e+17,1.6842213820602915e+17,2.357909934884408e+17,8.757951186713514e+17,1.6842213820602915e+17,1.6842213820602915e+17
2017-06-07 00:00:00 UTC,1.0071000361473728e+17,9.063900325326355e+17,7.049700253031608e+17,4.69980016868774e+17,5.035500180736864e+17,1.6785000602456214e+17,2.34990008434387e+17,3.692700132540367e+17,3.3570001204912424e+16,5.7069002048351123e+17,1.0071000361473728e+17,2.685600096392994e+17,8.056800289178982e+17,2.34990008434387e+17,6.714000240982485e+16
2017-06-08 00:00:00 UTC,1.0186304623806035e+17,9.507217648885635e+17,7.809500211584628e+17,4.414065336982615e+17,3.734978362062213e+17,2.037260924761207e+17,2.7163478996816096e+17,5.432695799363219e+17,,3.395434874602012e+17,1.0186304623806035e+17,3.0558913871418106e+17,7.469956724124426e+17,3.395434874602012e+17,1.0186304623806035e+17
2017-06-09 00:00:00 UTC,2.01188332867287e+17,9.053474979027916e+17,7.37690553846719e+17,4.02376665734574e+17,3.35313888112145e+17,2.347197216785015e+17,2.347197216785015e+17,2.347197216785015e+17,2.01188332867287e+17,3.688452769233595e+17,3.3531388811214504e+16,2.6825111048971603e+17,5.700336097906466e+17,2.01188332867287e+17,1.3412555524485802e+17
2017-06-10 00:00:00 UTC,3.3903409522786028e+16,5.763579618873624e+17,5.763579618873624e+17,5.085511428417904e+17,2.373238666595022e+17,1.3561363809114411e+17,2.0342045713671616e+17,3.390340952278603e+17,2.0342045713671616e+17,4.407443237962184e+17,1.0171022856835808e+17,2.0342045713671616e+17,7.119715999785065e+17,3.390340952278603e+17,1.6951704761393014e+17
2017-06-11 00:00:00 UTC,,6.765810607676849e+17,6.765810607676849e+17,6.089229546909165e+17,3.0446147734545824e+17,2.3680337126868973e+17,1.691452651919212e+17,5.074357955757637e+17,,4.7360674253737946e+17,1.0148715911515274e+17,2.7063242430707395e+17,8.457263259596061e+17,6.765810607676849e+16,
